1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.035243	0.000000	266.549512	0.002886	27.0
1	-0.038683	0.000000	266.549512	0.001765	1.3
2	-0.029611	0.997563	254.461814	0.001149	1.7
3	-0.042303	1.994697	243.427421	0.000584	1.6
4	-0.032594	1.750980	246.035104	0.003086	1.4
5	-0.041687	2.695757	236.225402	0.002642	1.3
6	-0.028434	3.695757	226.659977	0.003227	1.4
7	-0.032496	4.695319	217.842783	0.002141	1.3
8	-0.026857	5.695317	209.682460	0.000651	1.3
9	-0.020239	5.405341	211.985131	0.000756	1.6
10	-0.034811	5.765984	209.128857	0.002430	1.3
11	-0.032897	6.121384	206.388423	0.000936	1.2
12	-0.036442	7.117079	199.079705	0.000839	1.3
13	-0.043402	7.784784	194.461763	0.001688	1.6
14	-0.035847	6.966643	200.150575	0.001466	1.9
15	-0.040288	6.109203	206.481164	0.002794	1.6
16	-0.035496	7.109179	199.135657	0.001384	1.4
17	-0.036082	7.824786	194.191890	0.001998	1.7
18	-0.034523	8.824346	187.683571	0.000945	1.8
19	-0.036988	9.513783	183.442997	0.001734	1.8
20	-0.032316	10.477973	177.824021	0.002222	1.5
21	-0.032471	9.628814	182.754047	0.001151	1.6
22	-0.030128	8.777715	187.977476	0.000770	2.1
23	-0.033703	8.077283	192.505600	0.001928	1.8
24	-0.008669	8.283210	191.151851	0.000601	1.6
25	-0.037162	8.308759	190.985221	0.002231	1.6
26	-0.019880	8.515522	189.647324	0.001105	1.5
27	-0.029542	7.845535	194.052205	0.001143	2.6
28	-0.021739	7.002649	199.893220	0.000882	1.8
29	-0.035265	6.468970	203.776836	0.001641	1.3
30	-0.046510	7.427419	196.906366	0.001447	1.1
31	-0.047142	6.574017	203.000517	0.001651	1.3
32	-0.026908	5.796756	208.888707	0.001214	1.3
33	-0.018635	6.443605	203.965179	0.000357	1.4
34	-0.028039	6.938264	200.353882	0.001458	1.3
35	-0.032634	6.788029	201.437093	0.000811	1.1
36	-0.038572	6.747333	201.732529	0.001695	1.1
37	-0.050949	6.002482	207.297235	0.001514	1.2
38	-0.038617	5.151687	214.041251	0.001739	1.2
39	-0.028339	6.145130	206.207880	0.001253	1.4
40	-0.029198	7.138895	198.925355	0.001214	1.3
41	-0.040943	8.084849	192.455522	0.002605	1.3
42	-0.028406	9.068980	186.156622	0.002158	1.5
43	-0.038711	10.056918	180.234873	0.001513	1.4
44	-0.028847	9.211315	185.279577	0.001824	1.5
45	-0.032862	10.211289	179.343436	0.001459	1.4
46	-0.025788	9.360127	184.371424	0.001367	1.2
47	-0.030808	8.965626	186.798691	0.002017	1.5
48	-0.040507	9.426721	183.967891	0.000988	1.4
49	-0.028302	10.353520	178.529865	0.002330	1.2
50	-0.042443	9.505175	183.494758	0.002011	1.3
51	-0.024826	10.505175	177.670485	0.000975	1.5
52	-0.039657	11.503069	172.215731	0.002933	1.4
53	-0.024173	11.922654	170.020917	0.001615	1.4
54	-0.038030	11.065050	174.568252	0.002370	1.7
55	-0.027949	10.208109	179.361708	0.000444	1.4
56	-0.039179	11.012639	174.854055	0.002202	1.2
57	-0.042239	11.561993	171.904087	0.001533	1.2
58	-0.017872	11.868901	170.298960	0.001466	1.2
59	-0.022705	12.844734	165.388793	0.000728	1.1
60	-0.033807	13.687310	161.371399	0.001513	1.4
61	-0.022812	14.067445	159.622116	0.002221	1.4
62	-0.024949	14.983481	155.558597	0.001629	1.3
63	-0.036288	15.983479	151.352439	0.002030	2.3
64	-0.028617	16.676526	148.568361	0.002127	1.2
65	-0.030697	17.623368	144.926245	0.001184	1.2
66	-0.028362	18.291788	142.460804	0.000519	1.4
67	-0.026257	19.007786	139.911261	0.001072	1.3
68	-0.039692	18.841030	140.496865	0.001898	1.3
69	-0.031852	18.665310	141.119275	0.001845	1.3
70	-0.023627	19.665282	137.649106	0.001604	1.3
71	-0.037170	18.807818	140.614081	0.001230	1.3
72	-0.033912	18.473297	141.805731	0.001406	1.1
73	-0.024676	18.040562	143.377540	0.000833	1.2
74	-0.034459	17.223167	146.443643	0.001177	1.3
75	-0.031994	17.658472	144.794645	0.001478	1.2
76	-0.044546	18.569863	141.459669	0.000985	1.3
77	-0.038871	19.564710	137.990381	0.001248	1.7
78	-0.036250	18.828054	140.542639	0.001187	1.3
79	-0.030968	18.359539	142.215581	0.002079	1.1
80	-0.032506	18.907697	140.262159	0.001257	1.2
81	-0.037284	19.907137	136.835284	0.001180	1.1
82	-0.020179	20.843534	133.773111	0.001958	1.2
83	-0.033376	19.987851	136.565827	0.001628	1.1
84	-0.025986	19.159804	139.381649	0.002029	1.2
85	-0.024313	18.948570	140.118652	0.000878	1.2
86	-0.029837	19.942998	136.715435	0.001431	1.1
87	-0.031128	19.267523	139.008792	0.001701	1.1
88	-0.027451	20.267023	135.641957	0.001714	1.2
89	-0.034667	19.523731	138.129922	0.001197	1.3
90	-0.034244	19.871652	136.954086	0.001089	1.1
91	-0.030798	20.720220	134.168509	0.002813	1.2
92	-0.046412	21.719977	131.028623	0.001305	1.2
93	-0.048866	21.137814	132.838872	0.001630	1.4
94	-0.032958	22.137570	129.760200	0.003714	1.2
95	-0.027491	22.279411	129.334934	0.001047	1.0
96	-0.034696	23.276948	126.421085	0.001887	1.1
97	-0.038596	24.163712	123.938877	0.002014	1.2
98	-0.027424	23.306109	126.337877	0.001616	1.1
99	-0.026982	24.298671	123.569625	0.002687	1.1
100	-0.034486	23.698227	125.229569	0.002090	1.4
101	-0.032248	22.900020	127.506542	0.001819	1.5
102	-0.032692	23.894017	124.683424	0.001387	1.3
103	-0.048103	24.893088	121.969124	0.001130	1.1
104	-0.030961	25.348621	120.770363	0.001424	1.4
105	-0.029933	24.999514	121.686934	0.001215	1.5
106	-0.038819	24.483094	123.068579	0.002088	1.6
107	-0.021930	23.625891	125.432560	0.001283	1.4
108	-0.031419	24.625818	122.683602	0.002311	1.4
109	-0.023797	24.595527	122.765107	0.001904	1.2
110	-0.029078	25.594496	120.133068	0.001659	1.1
111	-0.021837	26.594493	117.608980	0.001205	1.2
112	-0.038005	27.593552	115.190998	0.002117	2.0
113	-0.039661	26.735978	117.260398	0.001941	2.0
114	-0.023618	27.730218	114.867940	0.000481	1.4
115	-0.031274	28.342121	113.443436	0.001435	1.4
116	-0.036704	28.796245	112.408872	0.002532	1.3
117	-0.035571	28.161128	113.861093	0.001708	1.3
118	-0.037042	28.648010	112.744493	0.001725	1.4
119	-0.034343	29.171516	111.568082	0.002526	1.4
120	-0.031957	30.154099	109.425048	0.001528	1.3
121	-0.026666	29.297519	111.288586	0.001409	1.4
122	-0.024633	30.111644	109.515939	0.001869	1.4
123	-0.032179	29.501766	110.838496	0.001532	1.5
124	-0.029972	29.178037	111.553582	0.001641	1.4
125	-0.032249	30.137541	109.460479	0.001283	2.2
126	-0.035746	30.085423	109.572153	0.002117	1.4
127	-0.035087	29.329672	111.217490	0.000564	1.6
128	-0.040497	30.243927	109.233232	0.001588	1.5
129	-0.024691	29.696020	110.413791	0.001031	1.8
130	-0.033485	30.691622	108.287176	0.000575	1.3
131	-0.037900	31.251712	107.126438	0.001925	1.2
132	-0.025864	30.570383	108.541752	0.001786	1.2
133	-0.048379	31.520918	106.577340	0.001118	1.2
134	-0.030898	32.519373	104.589037	0.001688	1.4
135	-0.040868	33.516109	102.676802	0.000187	1.4
136	-0.028591	33.675782	102.376950	0.000933	1.3
137	-0.040922	33.583241	102.550520	0.001653	1.2
138	-0.041371	34.464332	100.921432	0.000906	1.3
139	-0.027158	33.624483	102.473094	0.002419	1.3
140	-0.026455	34.137658	101.519361	0.001669	1.2
141	-0.038039	35.137406	99.711407	0.001514	1.3
142	-0.025098	34.309492	101.203963	0.001846	1.3
143	-0.025241	33.548824	102.615223	0.001186	1.2
144	-0.040616	32.692880	104.251061	0.001431	1.3
145	-0.029854	33.502856	102.701770	0.001882	1.8
146	-0.037734	34.297718	101.225512	0.001942	1.5
147	-0.025527	34.029752	101.718426	0.001518	1.3
148	-0.031702	33.172551	103.327970	0.003201	1.3
149	-0.031997	32.315534	104.988909	0.001393	1.1
150	-0.037134	33.304431	103.077036	0.000674	1.2
151	-0.027235	32.498279	104.630277	0.001048	1.3
152	-0.034879	31.910891	105.791825	0.001969	1.2
153	-0.035589	32.076173	105.462384	0.003903	1.2
154	-0.047195	33.076173	103.512128	0.000905	1.3
155	-0.049747	32.267270	105.084036	0.002090	1.5
156	-0.024540	31.545069	106.528356	0.000530	1.4
