1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.343384	0.000000	1857.547914	0.000352	30.3
1	-0.358631	0.000000	1857.547914	0.000566	1.8
2	-0.364436	0.000000	1857.547914	0.000500	1.5
3	-0.385202	0.000000	1857.547914	0.000460	1.5
4	-0.362134	0.999283	1773.171734	0.000438	1.5
5	-0.401845	0.312063	1830.348629	0.000343	1.6
6	-0.366093	0.000000	1857.547914	0.000642	1.4
7	-0.385747	1.000000	1773.113918	0.000584	1.5
8	-0.340748	1.999603	1696.051287	0.000434	1.5
9	-0.355864	2.999573	1625.383372	0.000916	1.4
10	-0.357674	3.999568	1560.367186	0.000459	1.5
11	-0.340912	4.999568	1500.352067	0.000536	1.4
12	-0.366715	4.312349	1541.085965	0.000310	1.5
13	-0.380783	5.312035	1482.534724	0.000861	1.5
14	-0.351849	6.312035	1428.253368	0.000384	1.5
15	-0.356319	7.312035	1377.806505	0.000366	1.4
16	-0.368794	8.309701	1330.907671	0.000342	1.5
17	-0.374920	9.301376	1287.350968	0.000484	1.5
18	-0.356797	9.721732	1269.736576	0.000210	1.6
19	-0.359770	9.041793	1298.474632	0.000229	1.3
20	-0.362035	8.362113	1328.531968	0.000647	1.4
21	-0.351682	7.680571	1360.102157	0.000272	1.5
22	-0.369655	7.389344	1374.054532	0.000376	1.5
23	-0.375458	6.702212	1408.136870	0.000329	1.6
24	-0.379415	6.140171	1437.297718	0.000734	1.5
25	-0.383431	5.500805	1471.974386	0.000645	1.4
26	-0.358911	6.500802	1418.449781	0.000327	1.6
27	-0.367003	5.813583	1454.803966	0.000746	1.5
28	-0.348865	6.813202	1402.517622	0.000873	1.4
29	-0.342061	6.125983	1438.049498	0.000412	1.4
30	-0.369814	7.125978	1386.920860	0.000281	1.5
31	-0.377557	6.505544	1418.205218	0.000442	1.5
32	-0.358758	7.500458	1368.697528	0.000305	1.5
33	-0.336553	8.484489	1323.017875	0.000392	1.7
34	-0.382733	9.372981	1284.316006	0.000625	1.5
35	-0.385869	8.685897	1314.041695	0.000303	1.5
36	-0.353748	9.644623	1272.931529	0.000323	1.6
37	-0.377088	8.957748	1302.117461	0.000863	1.7
38	-0.349587	9.957178	1260.079533	0.000368	1.5
39	-0.349213	10.909406	1222.476728	0.000385	1.5
40	-0.351327	10.222359	1249.377297	0.000202	1.5
41	-0.363126	11.212385	1210.978506	0.000350	1.6
42	-0.401067	12.041320	1180.597696	0.000549	1.5
43	-0.388013	11.356085	1205.600317	0.000512	1.8
44	-0.348941	10.668871	1231.761820	0.000847	1.7
45	-0.384210	11.662490	1194.290651	0.000238	1.6
46	-0.374015	10.975271	1219.958596	0.000580	1.6
47	-0.332625	10.313819	1245.728148	0.000637	1.6
48	-0.352857	11.313819	1207.177206	0.000515	1.6
49	-0.351840	12.195977	1175.097412	0.000446	1.5
50	-0.387032	13.172739	1141.509509	0.000548	1.7
51	-0.347857	12.556852	1162.460222	0.000871	1.7
52	-0.343221	11.869633	1186.764258	0.000765	1.6
53	-0.369677	11.182415	1212.106241	0.000563	1.6
54	-0.347636	10.495196	1238.554169	0.000435	1.6
55	-0.354399	11.495196	1200.439176	0.000281	1.5
56	-0.369950	10.807985	1226.374644	0.000616	1.5
57	-0.331760	10.120766	1253.455861	0.000513	1.6
58	-0.351067	11.120013	1214.461103	0.000213	1.5
59	-0.379119	10.433831	1240.972071	0.000539	1.4
60	-0.378147	9.746634	1268.708165	0.000931	1.5
61	-0.355182	9.059415	1297.713407	0.000374	1.5
62	-0.359008	8.372244	1328.073767	0.000403	1.6
63	-0.360175	7.991095	1345.534058	0.000808	1.8
64	-0.364376	8.991075	1300.670501	0.000196	1.8
65	-0.366783	8.303859	1331.173005	0.000324	1.9
66	-0.337751	8.064206	1342.149390	0.000237	1.5
67	-0.370933	9.021044	1299.372065	0.000250	1.4
68	-0.356495	9.866494	1263.781567	0.000417	1.5
69	-0.374929	10.866406	1224.126323	0.000336	1.4
70	-0.374350	11.436273	1202.619861	0.000584	1.5
71	-0.335720	10.749288	1228.641928	0.000510	1.5
72	-0.378831	11.741584	1191.405594	0.000485	1.5
73	-0.374679	12.741256	1156.107131	0.000455	1.3
74	-0.388216	13.741256	1122.829488	0.000306	1.4
75	-0.351112	14.696512	1092.781998	0.000442	1.7
76	-0.362949	14.009303	1114.232589	0.000348	1.5
77	-0.364584	13.910571	1117.383780	0.000604	1.6
78	-0.344620	13.507455	1130.437069	0.000697	1.4
79	-0.355596	12.820236	1153.407283	0.000512	1.4
80	-0.382915	12.133017	1177.330358	0.000595	1.5
81	-0.362597	11.445797	1202.266839	0.000422	1.4
82	-0.355705	10.758678	1228.278645	0.000302	1.5
83	-0.368376	11.395183	1204.145275	0.000480	1.4
84	-0.368160	10.951595	1220.862579	0.000874	1.4
85	-0.367417	11.951595	1183.812397	0.000580	1.5
86	-0.348150	12.951595	1148.944744	0.000519	1.5
87	-0.380423	12.264376	1172.681119	0.000634	1.3
88	-0.380888	13.264376	1138.456620	0.000547	1.5
89	-0.364616	12.577157	1161.757260	0.000265	1.4
90	-0.364711	11.926186	1184.725923	0.000364	1.4
91	-0.352223	11.246168	1209.709835	0.000534	1.5
92	-0.358151	12.019152	1181.390322	0.000383	1.4
93	-0.369773	13.019152	1146.663109	0.000378	1.5
94	-0.349239	12.446580	1166.292805	0.000438	1.3
95	-0.342609	11.759361	1190.759058	0.000247	1.4
96	-0.362169	11.640731	1195.086773	0.000699	1.6
97	-0.369705	11.725907	1191.976315	0.000572	1.5
98	-0.349315	11.054903	1216.927918	0.000236	1.6
99	-0.350149	11.922978	1184.841368	0.000167	1.4
100	-0.362002	11.836677	1187.955360	0.000828	1.5
101	-0.347244	12.836666	1152.847208	0.000374	1.4
102	-0.385777	12.149447	1176.746813	0.000579	1.4
103	-0.392238	12.966501	1148.440529	0.000519	1.4
104	-0.369155	12.281878	1172.064441	0.000649	1.4
105	-0.370952	13.281878	1137.875403	0.000444	1.5
106	-0.359241	14.185930	1108.639345	0.000343	1.5
107	-0.393421	13.498717	1130.723400	0.000354	1.5
108	-0.348329	14.498348	1098.882296	0.000529	1.5
109	-0.370257	13.811129	1120.575721	0.000283	1.4
110	-0.362141	14.811120	1089.284732	0.000459	1.4
111	-0.362596	14.136205	1110.208280	0.000430	1.5
112	-0.335017	15.108163	1080.323763	0.000373	1.5
113	-0.366291	14.420946	1101.283564	0.000295	1.3
114	-0.358936	13.733820	1123.069863	0.000448	1.2
115	-0.333363	14.718024	1092.123845	0.000504	1.3
116	-0.373222	14.290169	1105.364660	0.000399	1.4
117	-0.327618	13.603854	1127.287919	0.000275	1.6
118	-0.335128	14.296256	1105.174051	0.000644	1.6
119	-0.382456	15.296230	1074.726128	0.000701	1.7
120	-0.387991	16.296230	1045.910182	0.000430	1.4
121	-0.347514	15.618859	1065.257282	0.000335	1.3
122	-0.359455	15.270650	1075.484080	0.000497	1.6
123	-0.369302	14.583501	1096.252629	0.000684	1.5
124	-0.344007	13.924696	1116.931877	0.000440	1.3
125	-0.405580	14.924696	1085.840957	0.000706	1.2
126	-0.380369	14.237477	1107.017580	0.000605	1.3
127	-0.368991	13.550257	1129.036627	0.000439	1.4
128	-0.387226	14.280574	1105.665300	0.000259	1.3
129	-0.369106	13.774357	1121.760662	0.000377	1.9
130	-0.365255	14.774175	1090.409674	0.000399	1.6
131	-0.359259	14.694804	1092.834306	0.000545	1.4
132	-0.346799	14.291435	1105.325022	0.000474	1.4
133	-0.383385	13.604216	1127.276121	0.000465	1.5
134	-0.383015	14.604204	1095.615188	0.000378	1.3
135	-0.357472	13.917000	1117.178068	0.000424	1.5
136	-0.374726	14.916285	1086.095245	0.000488	1.6
137	-0.364791	14.229066	1107.281883	0.000397	1.3
138	-0.371349	15.228887	1076.723838	0.000478	1.3
139	-0.351437	14.541668	1097.542931	0.000348	2.1
140	-0.363410	15.541619	1067.508987	0.000618	1.8
141	-0.340154	16.474846	1040.925065	0.000753	1.6
142	-0.360105	17.474846	1013.870374	0.000257	1.6
143	-0.375528	16.810321	1031.689375	0.000177	1.6
144	-0.358211	16.823026	1031.342828	0.000385	1.7
145	-0.391330	16.189006	1048.925766	0.000458	1.6
146	-0.367205	15.501830	1068.672606	0.000502	1.6
147	-0.367365	14.814611	1089.178548	0.000335	1.6
148	-0.369892	14.130211	1110.397706	0.000483	1.7
149	-0.360696	15.130211	1079.664493	0.000358	1.6
150	-0.366266	16.126540	1050.690593	0.000544	1.8
151	-0.324557	15.442729	1070.405725	0.000364	1.2
152	-0.336750	14.760814	1090.817063	0.000462	1.5
153	-0.392044	15.760738	1061.145884	0.000392	1.5
154	-0.345431	15.073556	1081.360170	0.000293	1.4
155	-0.374935	16.073514	1052.193379	0.000493	1.4
156	-0.348460	17.073493	1024.558104	0.000503	1.4
157	-0.373630	16.386274	1043.391112	0.000794	1.5
158	-0.351473	17.386274	1016.209761	0.000296	1.5
159	-0.375780	18.386200	990.410512	0.000481	1.5
160	-0.358114	17.699016	1007.997362	0.000410	1.4
161	-0.367615	18.696584	982.666565	0.000428	1.4
162	-0.353393	19.692376	958.619534	0.000354	1.4
163	-0.362818	19.005884	975.069221	0.000639	1.4
164	-0.360250	18.318737	992.109847	0.000528	1.5
165	-0.362546	17.631518	1009.758570	0.000405	1.5
166	-0.393582	16.944301	1028.046514	0.000391	1.5
167	-0.350768	17.944173	1001.651934	0.000631	1.4
168	-0.388766	17.256954	1019.644857	0.000511	1.5
169	-0.360683	18.256954	993.671246	0.000374	1.6
170	-0.362424	19.256954	968.988026	0.000102	1.6
171	-0.362255	19.526503	962.543113	0.000314	1.7
172	-0.371494	18.959954	976.189975	0.000632	1.6
173	-0.361835	18.272734	993.271966	0.000495	1.7
174	-0.349490	17.585515	1010.962424	0.000438	1.9
175	-0.375323	16.898296	1029.294456	0.000478	1.6
176	-0.363331	17.897032	1002.865877	0.000875	1.7
177	-0.381947	17.733223	1007.107160	0.000398	1.9
178	-0.371764	18.733223	981.760433	0.000643	1.6
179	-0.356235	18.046007	999.039575	0.000467	1.5
180	-0.359559	19.046007	974.092279	0.000662	1.4
181	-0.376391	20.046007	950.360561	0.000408	1.6
182	-0.374767	19.358788	966.543055	0.000611	1.5
183	-0.349981	18.671569	983.286203	0.000279	1.5
184	-0.346017	18.250148	993.843551	0.000228	1.5
185	-0.357745	17.891866	1002.999081	0.000353	1.4
186	-0.360916	17.215539	1020.749873	0.000296	1.5
187	-0.333424	16.786142	1032.349542	0.000426	1.3
