1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
102	-0.123000	27.430759	249.724294	0.000894	1.2
103	-0.106733	26.824895	252.887892	0.001115	1.3
104	-0.108543	26.229074	256.078215	0.001347	1.4
105	-0.121529	27.229073	250.768596	0.000859	1.3
106	-0.106504	28.228975	245.675175	0.000593	1.5
107	-0.122801	27.643831	248.630437	0.000733	1.5
108	-0.112699	28.322780	245.207932	0.000878	1.3
109	-0.143068	28.685090	243.419845	0.001318	1.4
110	-0.106205	29.323883	240.329964	0.000678	1.7
111	-0.122438	30.317011	235.678905	0.001332	1.5
112	-0.100852	31.046960	232.373551	0.000724	1.3
113	-0.122838	32.045423	227.999632	0.001034	1.2
114	-0.115613	31.451416	230.581705	0.000793	1.3
115	-0.135196	31.620538	229.840617	0.001369	1.3
116	-0.122523	31.015686	232.513263	0.000695	1.1
117	-0.134831	32.014582	228.132273	0.000597	1.6
118	-0.130951	32.417934	226.409675	0.002794	1.5
119	-0.129273	32.648474	225.436740	0.000844	1.3
120	-0.123035	33.648474	221.311524	0.002062	1.2
121	-0.132736	33.171637	223.259582	0.000918	1.6
122	-0.142055	34.171637	219.212946	0.000738	1.5
123	-0.110451	33.631975	221.378360	0.000947	1.6
124	-0.109756	33.031673	223.837916	0.001662	1.4
125	-0.157446	33.109802	223.514713	0.000468	1.2
126	-0.129388	32.820091	224.717883	0.001086	1.2
127	-0.141786	32.230190	227.208225	0.000487	1.3
128	-0.099860	32.666843	225.359575	0.001738	1.2
129	-0.129680	32.606080	225.615022	0.000570	1.3
130	-0.122993	33.605876	221.484169	0.001350	1.4
131	-0.124400	34.531652	217.791774	0.002018	1.5
132	-0.138729	35.531652	213.939211	0.000424	1.7
133	-0.111039	34.966613	216.099139	0.001855	1.1
134	-0.103889	35.659669	213.455834	0.000746	1.4
135	-0.136657	36.651479	209.783639	0.003061	1.4
136	-0.096500	37.651036	206.208410	0.001331	1.5
137	-0.137414	38.651036	202.751498	0.001364	1.6
138	-0.115860	39.642908	199.435308	0.000628	1.3
139	-0.117629	40.215942	197.568419	0.000772	1.2
140	-0.123008	40.153199	197.771124	0.001910	1.3
141	-0.118535	40.418134	196.918014	0.001112	1.2
142	-0.123861	41.418003	193.763599	0.000955	1.4
143	-0.122330	42.417809	190.708842	0.002143	1.6
144	-0.107837	42.712769	189.825952	0.000997	1.7
145	-0.120348	42.770651	189.653653	0.001735	1.4
146	-0.128432	43.241032	188.264985	0.001155	1.3
147	-0.117943	43.832677	186.546931	0.001162	1.4
148	-0.124389	44.832641	183.713380	0.000944	1.4
149	-0.119317	44.472670	184.723444	0.002160	1.6
150	-0.114552	45.468230	181.956657	0.001449	1.4
151	-0.123608	46.468230	179.259734	0.001006	1.3
152	-0.129922	47.468228	176.641595	0.000880	1.5
