1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.279620	0.000000	960.972371	0.001067	20.7
1	-0.298595	0.000000	960.972371	0.000740	1.2
2	-0.282597	0.000000	960.972371	0.000730	1.1
3	-0.276741	0.999997	917.291913	0.000681	1.1
4	-0.285332	1.118951	912.358821	0.000512	1.1
5	-0.313624	0.480943	939.456880	0.000659	1.1
6	-0.294450	0.000000	960.972371	0.000193	1.1
7	-0.282956	0.000000	960.972371	0.000718	1.3
8	-0.271093	0.516452	937.906464	0.000969	1.3
9	-0.299816	0.092569	956.754941	0.000777	1.0
10	-0.280772	1.081927	913.888521	0.000398	1.0
11	-0.298287	0.447166	940.936440	0.000913	1.0
12	-0.280335	0.000000	960.972371	0.000984	1.0
13	-0.258905	0.294681	947.674219	0.000744	1.1
14	-0.313868	0.000000	960.972371	0.000405	1.3
15	-0.291378	0.979474	918.148446	0.001262	1.2
16	-0.269135	1.942646	879.602967	0.001419	1.4
17	-0.312526	2.942646	842.865050	0.000950	1.3
18	-0.283655	3.583724	820.885399	0.000347	1.1
19	-0.283954	2.939223	842.985593	0.001139	1.0
20	-0.289383	3.923201	809.704176	0.000305	1.0
21	-0.281616	4.305880	797.459706	0.000528	1.1
22	-0.282239	4.644542	786.928454	0.000769	1.1
23	-0.284219	5.606855	758.466934	0.000833	1.1
24	-0.298144	6.606793	730.994727	0.001088	1.5
25	-0.291448	5.959582	748.543503	0.001446	1.1
26	-0.298208	5.312376	766.955439	0.001238	1.0
27	-0.276353	6.312376	738.874563	0.000553	1.4
28	-0.287890	7.268701	713.878556	0.001294	1.1
29	-0.293806	8.268698	689.488139	0.000578	1.1
30	-0.314279	8.098720	693.515714	0.000724	1.1
31	-0.277084	7.675054	703.762225	0.000837	1.1
32	-0.292888	7.027902	720.011793	0.001130	1.2
33	-0.288199	6.380690	737.031078	0.000243	1.2
34	-0.308601	5.764204	754.007850	0.001645	1.1
35	-0.282389	6.578057	731.756399	0.000845	1.1
36	-0.290949	5.930845	749.342247	0.000789	1.1
37	-0.287773	6.930697	722.517584	0.000895	1.0
38	-0.283871	6.283485	739.656972	0.001057	1.1
39	-0.294485	5.639285	757.543599	0.000946	1.1
40	-0.287892	4.992073	776.406719	0.000957	1.2
41	-0.280291	5.992073	747.642469	0.000674	1.2
42	-0.298851	5.344860	766.009750	0.000729	1.2
43	-0.281118	4.735940	784.133786	0.000733	1.1
44	-0.300522	5.735880	754.806631	0.000599	1.0
45	-0.277612	5.089984	773.492980	0.000685	1.1
46	-0.285364	4.595255	788.443779	0.000904	1.1
47	-0.291815	5.562228	759.741238	0.001028	1.1
48	-0.288895	6.562227	732.176673	0.000897	1.2
49	-0.302602	7.562221	706.542385	0.000716	1.6
50	-0.289753	6.932329	722.475382	0.000745	1.1
51	-0.275410	7.452342	709.270946	0.000631	1.1
52	-0.279852	8.451948	685.198137	0.000433	1.1
53	-0.262311	7.824949	700.102523	0.001013	1.6
54	-0.293369	8.817889	676.789016	0.000761	1.1
55	-0.310351	8.503445	684.002156	0.000904	1.3
56	-0.295762	9.503443	661.578417	0.001093	1.5
57	-0.298472	10.503435	640.578397	0.000724	1.4
58	-0.284913	9.858454	653.967308	0.001454	1.1
59	-0.291474	10.858454	633.440030	0.000160	1.0
60	-0.295310	10.780831	634.987169	0.000288	1.0
61	-0.299806	10.992133	630.793199	0.000474	1.1
62	-0.290351	11.632309	618.418390	0.000852	1.1
63	-0.282661	12.317026	605.708925	0.000794	1.1
64	-0.292944	13.317024	588.058567	0.001061	1.0
65	-0.293154	14.000695	576.571973	0.001066	1.1
66	-0.299027	15.000695	560.556395	0.000794	1.3
67	-0.293752	16.000695	545.406508	0.000563	1.3
68	-0.280520	17.000583	531.055533	0.000672	1.4
69	-0.252296	17.998100	517.471870	0.000840	1.4
70	-0.298831	18.998086	504.534631	0.001148	1.1
71	-0.296967	19.997768	492.232152	0.000630	1.1
72	-0.305352	19.351245	500.118889	0.000776	1.2
73	-0.294813	20.351066	488.026590	0.000425	1.3
74	-0.305456	21.331647	476.721825	0.000791	1.5
75	-0.269495	20.717316	483.742041	0.000537	1.4
76	-0.290580	20.887173	481.780419	0.000804	1.2
77	-0.300127	20.342400	488.128890	0.000696	1.2
78	-0.295223	19.912525	493.257746	0.000760	1.5
79	-0.294043	20.912491	481.489394	0.000721	1.3
80	-0.290210	20.268848	488.998867	0.000838	1.5
81	-0.265585	19.873468	493.729083	0.000879	1.5
82	-0.288374	20.873468	481.938107	0.000769	1.1
83	-0.279222	21.873466	470.697190	0.000602	1.1
84	-0.295201	22.873449	459.968849	0.001120	1.1
85	-0.302501	22.226238	466.855800	0.000940	1.1
86	-0.276660	21.579025	473.952131	0.001261	1.1
87	-0.272427	20.931816	481.267493	0.000774	1.1
88	-0.276001	21.931815	470.057460	0.000514	1.1
89	-0.284241	22.930747	459.368915	0.000414	1.2
90	-0.278332	23.264385	455.906477	0.000632	1.9
91	-0.296244	22.894481	459.748451	0.000892	1.3
92	-0.279046	23.205615	456.512595	0.000378	2.1
93	-0.297731	24.204528	446.424745	0.000742	1.4
94	-0.274457	24.133597	447.126334	0.001493	1.0
95	-0.296951	23.486385	453.631369	0.001036	1.0
96	-0.282842	22.839658	460.323388	0.000371	1.0
97	-0.277880	23.728776	451.173086	0.000739	1.1
98	-0.266155	23.260953	455.941829	0.000641	1.1
99	-0.300757	22.615625	462.687852	0.000667	1.1
100	-0.288384	22.060889	468.648466	0.001119	1.3
101	-0.296623	23.060380	458.017375	0.000668	1.1
102	-0.315523	22.420023	464.772203	0.000980	1.0
103	-0.280598	23.419712	454.312264	0.000761	1.0
104	-0.267379	24.419329	444.313476	0.000652	1.6
105	-0.304826	25.407254	434.854853	0.000906	1.1
106	-0.275829	24.761054	440.995518	0.000328	1.2
107	-0.305305	25.640404	432.681070	0.000586	1.1
108	-0.274112	25.298224	435.878915	0.000620	1.3
109	-0.284870	26.220209	427.368283	0.000483	1.4
110	-0.294250	25.730918	431.842998	0.000451	1.0
111	-0.310610	26.138934	428.105133	0.000674	1.0
112	-0.305801	25.511327	433.881831	0.001486	1.0
113	-0.279554	26.511327	424.749655	0.000661	1.0
114	-0.293617	27.508915	416.014659	0.000682	1.0
115	-0.266604	26.870212	421.565291	0.000440	1.1
116	-0.306415	26.224439	427.330006	0.000634	1.1
117	-0.311310	25.580759	433.235104	0.001022	1.4
118	-0.288732	24.938678	439.290391	0.000322	1.3
119	-0.312241	24.350855	444.984329	0.000445	1.2
120	-0.296330	24.919223	439.476509	0.000560	1.0
121	-0.294478	24.463672	443.880115	0.001036	1.0
122	-0.273478	23.949612	448.956481	0.000513	1.1
123	-0.285039	24.949482	439.187102	0.000237	1.1
124	-0.277756	25.448856	434.465380	0.000640	1.1
125	-0.285633	25.078194	437.960307	0.001809	1.2
126	-0.291767	26.025481	429.137979	0.000485	1.2
127	-0.284358	25.379291	435.117035	0.000786	1.0
128	-0.303387	26.378788	425.937869	0.000651	1.1
129	-0.258070	27.364156	417.259837	0.000163	1.1
130	-0.306161	26.830024	421.919504	0.000495	1.2
131	-0.305110	27.459927	416.435210	0.000797	1.3
132	-0.300749	28.458875	408.024238	0.000675	1.3
133	-0.296939	27.899342	412.693077	0.000802	1.2
134	-0.298829	27.252130	418.228584	0.000321	1.3
135	-0.301945	27.578439	415.419275	0.000657	1.1
136	-0.300874	28.541789	407.341359	0.000457	1.1
137	-0.290913	27.894804	412.731381	0.000710	1.1
138	-0.307998	27.252466	418.225666	0.001250	1.0
139	-0.287870	26.647058	423.539684	0.000708	1.0
140	-0.285617	27.647051	414.833362	0.000535	1.0
141	-0.309848	27.014481	420.298616	0.001255	1.1
142	-0.310495	26.380340	425.923910	0.000541	1.1
143	-0.309981	27.376020	417.157504	0.000558	1.1
144	-0.305908	26.856208	421.688655	0.000842	1.1
145	-0.272792	26.209007	427.469691	0.000523	1.4
146	-0.274429	25.569631	433.338623	0.000884	1.3
147	-0.243087	24.922461	439.445521	0.000449	1.1
148	-0.281681	24.276342	445.716655	0.000617	1.1
149	-0.296649	23.837894	450.075102	0.000819	1.0
150	-0.270312	24.837871	440.256485	0.000444	1.2
151	-0.265936	24.190951	446.558861	0.000759	1.3
152	-0.295885	25.187858	436.920449	0.000616	1.1
153	-0.286680	26.185616	427.681604	0.001458	1.1
154	-0.311450	27.184833	418.812700	0.000493	1.2
155	-0.269027	26.537620	424.514725	0.000635	1.2
156	-0.307044	27.408591	416.876825	0.000623	1.0
157	-0.287209	26.768836	422.459945	0.000835	1.0
158	-0.303623	26.423042	425.540386	0.000803	1.2
159	-0.320838	27.402489	416.929378	0.000977	1.4
160	-0.294493	28.402489	408.489938	0.001153	1.3
161	-0.303320	29.402489	400.385379	0.000535	1.1
162	-0.295175	28.755277	405.593556	0.000836	1.1
163	-0.292835	28.279398	409.510273	0.000470	1.2
164	-0.283658	28.834033	404.952572	0.000460	1.1
165	-0.319411	29.781710	397.395438	0.000694	1.1
166	-0.282602	30.777002	389.756435	0.000451	1.2
167	-0.304062	31.598684	383.667773	0.000461	1.3
168	-0.283829	32.557213	376.801154	0.000795	1.4
169	-0.287773	31.913940	381.381919	0.001027	1.1
170	-0.301604	31.266728	386.104515	0.000950	1.1
171	-0.301132	31.305217	385.820403	0.000551	1.7
172	-0.297043	30.662499	390.620280	0.001207	2.4
173	-0.277843	30.054737	395.270274	0.000709	1.2
174	-0.310448	31.043083	387.763730	0.000714	1.4
175	-0.288634	30.396966	392.638345	0.000339	1.3
176	-0.301407	31.384280	385.238089	0.000511	1.3
177	-0.298969	32.321694	378.465468	0.001039	1.4
178	-0.276015	31.674598	383.114831	0.000750	1.4
179	-0.295728	31.027447	387.880262	0.000754	1.4
180	-0.289336	30.381409	392.757230	0.001126	1.6
181	-0.301567	31.380576	385.265327	0.000478	1.6
182	-0.295294	30.810646	389.503343	0.000727	1.4
183	-0.293293	31.601083	383.650273	0.000574	2.3
