1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.364623	0.000000	167.346039	0.007338	32.1
1	-0.346479	0.000000	167.346039	0.004843	1.2
2	-0.369691	0.000000	167.346039	0.004853	1.1
3	-0.399170	0.000000	167.346039	0.003387	1.1
4	-0.375291	0.000000	167.346039	0.006282	1.5
5	-0.379437	0.000000	167.346039	0.002589	1.0
6	-0.395206	0.000000	167.346039	0.005809	1.0
7	-0.386173	0.997597	159.756849	0.004208	1.0
8	-0.337696	1.997597	152.810173	0.003827	1.0
9	-0.375681	1.209999	158.229040	0.005847	1.0
10	-0.372415	0.422365	164.046632	0.006417	1.1
11	-0.367159	0.000000	167.346039	0.003223	1.1
12	-0.374111	0.000000	167.346039	0.003091	1.3
13	-0.366112	0.987243	159.832080	0.003841	1.2
14	-0.382091	0.753397	161.550258	0.002328	1.0
15	-0.391384	0.000000	167.346039	0.002210	1.8
16	-0.374838	0.961198	160.021637	0.000692	1.2
17	-0.376637	1.114414	158.912949	0.007345	1.2
18	-0.385433	0.926020	160.278372	0.002773	1.3
19	-0.396073	0.143022	166.214025	0.004930	1.1
20	-0.375232	0.000000	167.346039	0.001433	1.2
21	-0.382123	0.000000	167.346039	0.000702	1.7
22	-0.380040	0.000000	167.346039	0.001470	1.4
23	-0.360503	0.000000	167.346039	0.003395	1.3
24	-0.399748	0.655443	162.280998	0.001581	1.4
25	-0.374562	1.462938	156.447338	0.003007	1.2
26	-0.378077	1.910360	153.392036	0.002090	1.3
27	-0.379601	1.161991	158.571800	0.005339	1.5
28	-0.369588	0.395513	164.252518	0.002219	1.1
29	-0.368770	0.000000	167.346039	0.002888	1.4
30	-0.384176	0.000000	167.346039	0.001964	1.3
31	-0.374920	0.000000	167.346039	0.002035	1.0
32	-0.356472	0.000000	167.346039	0.002299	1.2
33	-0.346802	0.644242	162.364974	0.001796	1.1
34	-0.332785	1.077307	159.180048	0.002056	1.2
35	-0.342039	1.033447	159.496912	0.001628	1.1
36	-0.410034	1.099469	159.020419	0.004650	1.0
37	-0.374212	0.352123	164.586299	0.001997	1.0
38	-0.402976	0.000000	167.346039	0.004647	1.1
39	-0.400764	0.998146	159.752861	0.003427	1.2
40	-0.392871	0.210639	165.684154	0.004819	1.1
41	-0.377265	1.123891	158.844882	0.003920	1.0
