1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.489435	0.000000	720.371401	0.000391	29.0
1	-0.493216	0.000000	720.371401	0.000257	1.2
2	-0.544354	0.000000	720.371401	0.000795	1.1
3	-0.483181	0.000000	720.371401	0.000956	1.0
4	-0.479119	0.000000	720.371401	0.000387	1.0
5	-0.516050	0.000000	720.371401	0.000863	1.1
6	-0.483261	0.000000	720.371401	0.000896	0.9
7	-0.459936	0.000000	720.371401	0.000917	1.1
8	-0.498457	0.000000	720.371401	0.001278	1.0
9	-0.491082	0.999997	687.627326	0.000708	1.0
10	-0.516977	1.985156	658.155170	0.000611	1.2
11	-0.472220	1.243491	680.100061	0.001609	1.2
12	-0.466221	2.243478	650.840598	0.000491	1.0
13	-0.489450	3.214097	624.751759	0.000670	0.9
14	-0.519380	2.483330	644.193102	0.001380	1.0
15	-0.439364	2.874233	633.645466	0.001255	1.0
16	-0.482766	3.874233	608.171496	0.001054	1.0
17	-0.488968	4.874231	584.666626	0.000756	1.1
18	-0.527831	4.139807	601.746852	0.000903	1.0
19	-0.480296	5.138228	578.761471	0.001105	1.1
20	-0.487482	4.507542	593.071633	0.000621	1.0
21	-0.468370	5.495870	570.949335	0.001124	1.0
22	-0.519597	4.752685	587.426100	0.001388	1.1
23	-0.470540	4.412562	595.288235	0.000466	1.1
24	-0.494278	3.669519	613.218248	0.000519	1.2
25	-0.499391	3.266815	623.394518	0.000720	1.0
26	-0.470651	2.705313	638.160708	0.000821	0.9
27	-0.482793	3.631173	614.172920	0.001353	0.9
28	-0.486744	4.631134	590.211863	0.000468	0.9
29	-0.441366	3.946926	606.399350	0.000719	1.4
30	-0.494701	4.365183	596.400163	0.000797	1.0
31	-0.482374	3.626724	614.283883	0.000692	1.0
32	-0.490720	4.623475	590.388285	0.000097	0.9
33	-0.479053	4.816223	585.980353	0.000336	1.0
34	-0.489347	4.735130	587.826816	0.000874	1.0
35	-0.488506	5.060539	580.486828	0.000620	1.1
36	-0.462592	4.319820	597.468689	0.000455	1.0
37	-0.482897	4.870062	584.760844	0.001157	1.0
38	-0.506468	5.862988	563.146565	0.001394	1.3
39	-0.499514	5.118603	579.196343	0.000611	1.2
40	-0.478758	4.430907	594.858833	0.001027	0.9
41	-0.482889	4.484358	593.611159	0.000374	0.9
42	-0.499353	4.556775	591.929124	0.000747	0.9
43	-0.493792	3.861217	608.489893	0.001042	1.0
44	-0.497754	4.854518	585.112418	0.000649	1.1
45	-0.491615	4.281936	598.363958	0.000689	1.0
46	-0.503681	3.546017	616.303639	0.002145	1.0
47	-0.482068	4.546016	592.178424	0.000795	1.1
48	-0.499907	3.801632	609.951777	0.000729	1.0
49	-0.483656	3.066762	628.576434	0.000749	1.0
50	-0.470774	2.440368	645.373799	0.000790	1.0
51	-0.483132	3.439981	618.977539	0.000831	1.1
52	-0.502178	3.225412	624.459956	0.001085	1.0
53	-0.497763	2.481044	644.255818	0.001314	1.2
54	-0.492084	3.481044	617.939320	0.000834	1.1
55	-0.495535	2.736665	637.317814	0.001072	0.9
56	-0.468263	3.736662	611.553800	0.000413	0.9
57	-0.452482	3.007860	630.118600	0.000515	1.2
58	-0.505979	3.905379	607.410929	0.000641	1.0
59	-0.484057	4.116388	602.307920	0.000585	1.0
60	-0.511823	5.072419	580.222329	0.001654	1.0
61	-0.473438	6.063696	558.970186	0.000429	1.0
62	-0.468248	5.319733	574.770246	0.000480	1.0
63	-0.501381	5.916171	562.033854	0.001361	1.0
64	-0.502030	6.907929	542.060986	0.000469	1.0
65	-0.507102	6.166896	556.846811	0.001112	1.0
66	-0.515588	7.162662	537.158011	0.001077	1.0
67	-0.507495	6.418278	551.741418	0.001240	0.9
68	-0.501241	5.673893	567.138791	0.000806	1.1
69	-0.476861	6.672427	546.674117	0.000252	1.1
70	-0.500712	7.453354	531.670168	0.000280	1.0
71	-0.483350	7.293167	534.680313	0.000273	1.0
72	-0.525317	7.295535	534.635574	0.000773	1.0
73	-0.483907	7.922361	523.048566	0.000392	1.0
74	-0.508363	7.740395	526.360183	0.000560	1.0
75	-0.479278	7.992099	521.790410	0.000818	1.1
76	-0.485453	7.262988	535.251235	0.000801	1.0
77	-0.465066	6.526275	549.576702	0.000731	1.0
78	-0.485114	7.442943	531.864770	0.000671	1.0
79	-0.453219	8.299278	516.319869	0.000906	1.0
80	-0.499602	9.236796	500.310919	0.000720	1.0
81	-0.512528	10.195306	484.938320	0.000998	1.0
82	-0.467734	11.185782	470.014970	0.000603	1.1
83	-0.509354	12.182090	455.902556	0.000450	1.2
84	-0.497210	12.051898	457.698362	0.001081	1.4
85	-0.488415	11.312065	468.178049	0.000986	1.2
