1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.436964	0.000000	302.998040	0.001446	30.7
1	-0.417069	0.000000	302.998040	0.001839	1.0
2	-0.429771	0.000000	302.998040	0.000650	1.0
3	-0.439497	0.000000	302.998040	0.000694	1.0
4	-0.410855	0.243175	299.529562	0.001429	1.0
5	-0.421923	0.000000	302.998040	0.002666	1.1
6	-0.441128	0.932023	290.121836	0.001315	1.1
7	-0.419482	0.259029	299.306187	0.001449	1.2
8	-0.420576	0.000000	302.998040	0.003061	1.2
9	-0.441066	0.000000	302.998040	0.001545	1.3
10	-0.425059	0.681621	293.472463	0.002235	1.1
11	-0.418081	0.902117	290.517977	0.000699	0.9
12	-0.416389	0.207253	300.036915	0.001902	0.9
13	-0.458162	0.000000	302.998040	0.001200	0.9
14	-0.424156	0.961775	289.728800	0.002114	0.9
15	-0.447613	0.281432	298.991110	0.002645	0.9
16	-0.430715	0.000000	302.998040	0.002288	1.4
17	-0.453281	0.982520	289.455392	0.003008	1.0
18	-0.471819	0.291585	298.848524	0.003519	1.0
19	-0.423216	1.291585	285.442186	0.001376	1.0
20	-0.457240	2.291570	273.187201	0.002360	1.0
21	-0.395704	1.562576	282.013849	0.002084	1.1
22	-0.419212	2.557428	270.104135	0.002480	1.1
23	-0.447428	1.826731	278.750336	0.002817	0.9
24	-0.433348	2.826721	267.051384	0.003193	0.9
25	-0.383374	3.421532	260.547075	0.002034	1.1
26	-0.434052	4.421520	250.298130	0.003106	1.0
27	-0.414893	5.328571	241.675055	0.002597	0.9
28	-0.425926	6.328571	232.831744	0.000997	0.9
29	-0.420737	7.324396	224.645882	0.001803	0.9
30	-0.430082	7.482991	223.395037	0.001728	0.9
31	-0.439067	8.479844	215.840991	0.002336	0.9
32	-0.413999	8.811163	213.442154	0.001103	0.9
33	-0.417108	9.808392	206.533302	0.001093	1.0
34	-0.433465	9.139162	211.119303	0.001300	1.0
35	-0.391308	9.269669	210.209064	0.001004	1.0
36	-0.421696	9.811930	206.509585	0.001517	1.0
37	-0.393833	9.120072	211.253106	0.000443	1.0
38	-0.432935	8.949859	212.453718	0.000712	1.0
39	-0.423611	8.918540	212.676116	0.001904	1.0
40	-0.443719	9.849207	206.260046	0.003553	1.0
41	-0.416128	9.421756	209.158169	0.000562	1.0
42	-0.398479	8.734656	213.991340	0.002175	1.1
43	-0.425150	8.799082	213.528689	0.002371	0.9
44	-0.425817	9.705048	207.228426	0.001525	0.9
45	-0.394887	8.978461	212.251017	0.001786	1.0
46	-0.397493	8.265932	217.418631	0.001897	1.2
47	-0.445849	9.259731	210.278106	0.000540	1.0
48	-0.417403	8.775195	213.699989	0.000923	1.0
49	-0.398638	8.462280	215.969669	0.000649	1.0
50	-0.431624	7.971657	219.627023	0.000548	1.0
51	-0.433737	8.141344	218.348160	0.000931	1.0
52	-0.454717	8.610368	214.889553	0.001777	1.0
53	-0.442172	7.992371	219.470107	0.001397	1.1
54	-0.436435	7.451734	223.640460	0.000573	1.3
55	-0.406222	7.996472	219.439066	0.002544	1.1
56	-0.447500	8.936871	212.545885	0.001562	1.0
57	-0.444057	9.908432	205.864821	0.001952	1.1
58	-0.425577	9.346287	209.678333	0.001717	0.9
59	-0.429891	8.832135	213.292101	0.003392	0.9
60	-0.426761	8.101410	218.647788	0.001957	0.9
61	-0.446126	7.370684	224.279359	0.001742	0.9
62	-0.394877	8.313957	217.062430	0.001441	0.9
63	-0.413343	8.340064	216.869290	0.001908	1.0
64	-0.408027	9.280177	210.136118	0.001609	1.0
65	-0.436897	8.670729	214.452396	0.001821	1.1
66	-0.422107	9.307522	209.946521	0.001124	1.0
67	-0.437208	10.137199	204.352321	0.000991	1.0
68	-0.428391	10.756386	200.367851	0.000367	1.1
69	-0.435569	10.425427	202.478037	0.000688	1.0
70	-0.431426	10.458771	202.263429	0.001355	1.0
71	-0.424689	11.230429	197.420854	0.001060	1.0
72	-0.427129	11.869068	193.585010	0.001092	1.0
73	-0.416660	11.200220	197.606070	0.000730	1.1
74	-0.422930	11.865964	193.603291	0.000745	1.1
75	-0.442918	11.826251	193.837514	0.002056	0.9
76	-0.456236	12.094080	192.268795	0.002063	1.0
77	-0.428242	11.363534	196.608898	0.002398	1.0
78	-0.462628	10.632858	201.150301	0.001281	1.0
79	-0.431050	9.955060	205.554726	0.001482	0.9
80	-0.381484	10.415611	202.541302	0.001240	1.0
81	-0.428587	9.937542	205.671119	0.001999	1.0
82	-0.428025	9.578060	208.089030	0.001866	1.3
83	-0.400356	10.481116	202.119861	0.001876	1.3
84	-0.431793	9.774744	206.759116	0.000978	1.3
85	-0.408060	10.696898	200.743900	0.001528	1.3
86	-0.394928	10.348795	202.972995	0.001508	1.3
87	-0.415216	11.177819	197.743633	0.000924	1.2
88	-0.417939	11.442252	196.131847	0.002032	1.1
89	-0.407145	11.218428	197.494391	0.001067	1.0
90	-0.411066	10.534186	201.779710	0.001529	1.0
91	-0.458089	11.395560	196.414532	0.002100	1.0
92	-0.409577	10.665989	200.939840	0.002509	1.2
93	-0.423099	11.659796	194.825429	0.001783	1.0
94	-0.410242	12.659398	189.039591	0.001748	1.0
95	-0.437705	13.443565	184.735778	0.001807	1.0
96	-0.392609	13.189734	186.107292	0.001641	1.0
97	-0.442590	12.462967	190.149270	0.001590	1.4
98	-0.435173	11.735001	194.377843	0.002750	1.1
99	-0.411063	12.035372	192.610480	0.001474	1.1
100	-0.425123	11.447306	196.101296	0.001354	1.0
101	-0.383509	10.902325	199.451259	0.001603	0.9
102	-0.401529	10.893837	199.504339	0.002185	0.9
103	-0.424975	10.163357	204.180792	0.000746	1.1
104	-0.432132	10.437948	202.397395	0.001720	1.1
105	-0.423217	9.755493	206.888534	0.001456	0.9
106	-0.402818	10.193485	203.983582	0.001116	0.9
107	-0.429527	9.859938	206.188322	0.001115	0.9
108	-0.425005	9.562277	208.196492	0.001847	0.9
109	-0.455359	9.510592	208.549177	0.001805	1.0
110	-0.427709	10.263652	203.525773	0.001884	1.0
111	-0.420149	9.859387	206.192001	0.001982	1.1
112	-0.424051	10.845338	199.808176	0.001984	1.0
113	-0.431929	11.797840	194.005421	0.002086	0.9
114	-0.409343	12.795364	188.279043	0.001828	0.9
115	-0.426790	13.691631	183.414809	0.001591	1.0
116	-0.423405	14.401010	179.739469	0.000709	1.0
117	-0.467711	14.849540	177.490670	0.000441	1.0
118	-0.407249	14.788690	177.792450	0.001632	1.0
119	-0.461134	14.268799	180.413255	0.002297	1.2
120	-0.446093	15.195933	175.792093	0.001427	1.0
121	-0.430770	16.096803	171.523105	0.000863	0.9
122	-0.432533	15.439091	174.619031	0.000909	0.9
123	-0.420186	15.658040	173.576080	0.001561	0.9
124	-0.442004	16.193708	171.076215	0.002388	0.9
125	-0.389962	17.193521	166.597861	0.001874	0.9
126	-0.415003	17.882743	163.644802	0.000436	0.9
127	-0.425744	17.653704	164.614465	0.001648	1.0
128	-0.445580	18.351412	161.695819	0.002110	1.0
129	-0.420607	19.351036	157.690097	0.001812	1.1
130	-0.430684	18.620364	160.598192	0.001385	1.1
131	-0.412964	19.079605	158.758024	0.001764	0.9
132	-0.397011	19.968770	155.312421	0.001799	0.9
133	-0.413015	20.968266	151.613575	0.000960	0.9
