1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
98	-0.343649	1.999985	1576.023723	0.000375	0.8
99	-0.354295	1.275653	1627.270863	0.000508	0.8
100	-0.336362	0.534170	1683.302498	0.000352	0.8
101	-0.353454	0.000000	1726.120067	0.000134	0.8
102	-0.342147	0.685353	1671.567036	0.000447	0.8
103	-0.377250	0.000000	1726.120067	0.000398	0.9
104	-0.327155	0.000000	1726.120067	0.000732	0.9
105	-0.333382	0.000000	1726.120067	0.000149	1.0
106	-0.301176	0.000000	1726.120067	0.000298	0.8
107	-0.337791	0.000000	1726.120067	0.000319	0.8
108	-0.354637	0.779219	1664.362795	0.000269	0.8
109	-0.312682	1.752536	1593.163973	0.000565	0.9
110	-0.328697	2.741850	1526.777446	0.000356	0.9
111	-0.306598	3.410892	1484.932279	0.000595	0.9
112	-0.308090	2.669408	1531.450251	0.000676	0.9
113	-0.334782	1.934459	1580.526522	0.000478	1.1
114	-0.356884	1.192974	1633.333203	0.000541	1.3
115	-0.329909	0.451493	1689.790156	0.000519	1.0
116	-0.356563	0.000000	1726.120067	0.000596	0.8
117	-0.356196	0.000000	1726.120067	0.000240	0.8
118	-0.340453	0.000000	1726.120067	0.000485	0.8
119	-0.362376	0.999931	1647.665264	0.000574	0.9
120	-0.366826	0.259275	1705.068592	0.000875	0.9
121	-0.313455	0.000000	1726.120067	0.000217	0.9
122	-0.364910	0.998823	1647.748187	0.000491	0.9
123	-0.356790	1.998598	1576.118715	0.000315	0.9
124	-0.368987	2.978330	1511.720021	0.000356	0.8
125	-0.331627	3.688117	1468.257871	0.000253	1.0
126	-0.323728	3.531542	1477.629146	0.000483	0.9
127	-0.349652	4.531476	1419.758140	0.000676	0.8
128	-0.337386	5.530978	1366.271565	0.000106	0.8
129	-0.346218	4.870421	1401.156980	0.000657	0.9
130	-0.362475	4.133506	1442.238968	0.000507	0.9
131	-0.336396	3.392019	1486.081238	0.000358	0.9
132	-0.327681	2.650535	1532.672373	0.000236	1.1
133	-0.339476	2.210929	1561.700619	0.000435	0.9
134	-0.340986	1.618533	1602.602702	0.000120	0.8
135	-0.344206	1.092836	1640.736460	0.000767	0.9
136	-0.338396	2.049389	1572.645648	0.000422	1.2
137	-0.333937	1.307902	1624.918440	0.000444	1.1
138	-0.326856	0.566415	1680.785646	0.000447	0.9
139	-0.372424	0.000000	1726.120067	0.000382	0.8
140	-0.334115	0.000000	1726.120067	0.000687	0.8
141	-0.351103	0.000000	1726.120067	0.000405	0.9
142	-0.317609	0.000000	1726.120067	0.000364	0.9
143	-0.336671	0.972550	1649.718471	0.000180	0.9
144	-0.340481	0.301878	1701.658467	0.000559	0.8
145	-0.326000	0.000000	1726.120067	0.000225	0.8
146	-0.325539	0.984270	1648.839012	0.000281	1.0
147	-0.373680	1.936705	1580.371768	0.000895	1.0
148	-0.336941	2.936693	1514.349621	0.000593	0.9
149	-0.357167	2.195737	1562.723434	0.000841	0.9
150	-0.334806	1.454250	1614.327881	0.000291	1.0
151	-0.333817	0.712765	1669.456744	0.000380	0.9
152	-0.340365	0.534024	1683.313860	0.000544	0.9
153	-0.356266	0.000000	1726.120067	0.000349	0.9
154	-0.363081	0.999976	1647.661859	0.000447	0.9
155	-0.353028	1.768352	1592.057291	0.000377	0.9
156	-0.339122	1.028074	1645.560145	0.000356	0.9
157	-0.330509	0.287891	1702.776536	0.000364	1.0
158	-0.350606	0.000000	1726.120067	0.000449	1.0
159	-0.337403	0.000000	1726.120067	0.000295	0.9
160	-0.364710	0.000000	1726.120067	0.000445	0.9
161	-0.341217	0.000000	1726.120067	0.000548	0.9
162	-0.379500	0.000000	1726.120067	0.000348	1.0
163	-0.359142	0.999574	1647.691987	0.000199	0.9
